,Penyakit,Gejala_1,Gejala_2,Gejala_3,Gejala_4
770,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
771,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
772,(vertigo) Vertigo Posisi Paroymsal,Sakit kepala,Mual,Rasa berputar (vertigo),Kehilangan keseimbangan
773,(vertigo) Vertigo Posisi Paroymsal,Muntah,Mual,Rasa berputar (vertigo),Kehilangan keseimbangan
774,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Rasa berputar (vertigo),Kehilangan keseimbangan
775,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Kehilangan keseimbangan
776,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
777,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
778,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Rasa berputar (vertigo)
779,(vertigo) Vertigo Posisi Paroymsal,Muntah,Sakit kepala,Mual,Kehilangan keseimbangan
780,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
781,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,kulit berminyak
782,Jerawat,Jerawat bernanah,Komedo,kulit berminyak,peradangan
783,Jerawat,Ruam kulit,Komedo,kulit berminyak,peradangan
784,Jerawat,Ruam kulit,Jerawat bernanah,kulit berminyak,peradangan
785,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,peradangan
786,Jerawat,Ruam kulit,Jerawat bernanah,Komedo,peradangan
787,Jerawat,Ruam kulit,Jerawat bernanah,kulit berminyak,peradangan
788,Jerawat,Ruam kulit,Jerawat bernanah,kulit berminyak,peradangan
789,Jerawat,Ruam kulit,Komedo,kulit berminyak,peradangan
790,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
791,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
792,Infeksi saluran kemih,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,nyeri_perut
793,Infeksi saluran kemih,Rasa panas saat buang air kecil,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,nyeri_perut
794,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,nyeri_perut
795,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,nyeri_perut
796,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus
797,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,perubahan_warna_urine
798,Infeksi saluran kemih,Tidak nyaman di kandung kemih,bau_pesing_yang_busuk,Rasa ingin buang air kecil terus-menerus,perubahan_warna_urine
799,Infeksi saluran kemih,Rasa panas saat buang air kecil,Tidak nyaman di kandung kemih,Rasa ingin buang air kecil terus-menerus,perubahan_warna_urine
800,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
801,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
802,Psoriasis,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
803,Psoriasis,Ruam kulit,Kulit mengelupas,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
804,Psoriasis,Ruam kulit,Nyeri sendi,Lapisan putih seperti serpihan di kulit,Lekukan kecil pada kuku
805,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lekukan kecil pada kuku
806,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
807,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
808,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
809,Psoriasis,Ruam kulit,Nyeri sendi,Kulit mengelupas,Lapisan putih seperti serpihan di kulit
810,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
811,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
812,Impetigo,Demam tinggi,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
813,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
814,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
815,Impetigo,Ruam kulit,Demam tinggi,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
816,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Kerak kuning yang keluar cairan
817,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
818,Impetigo,Ruam kulit,Demam tinggi,Lepuh,Luka merah di sekitar hidung
819,Impetigo,Ruam kulit,Lepuh,Luka merah di sekitar hidung,Kerak kuning yang keluar cairan
820,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
821,Infeksi jamur,Ruam kulit,Benjolan kulit,bercak diskromik,Gatal
822,Infeksi jamur,Gatal,Benjolan kulit,bercak diskromik,peradangan_kulit
823,Infeksi jamur,Gatal,Ruam kulit,bercak diskromik,peradangan_kulit
824,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,peradangan_kulit
825,Infeksi jamur,Ruam kulit,Benjolan kulit,bercak diskromik,peradangan_kulit
826,Infeksi jamur,Gatal,Benjolan kulit,bercak diskromik,peradangan_kulit
827,Infeksi jamur,Gatal,Ruam kulit,bercak diskromik,peradangan_kulit
828,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,peradangan_kulit
829,Infeksi jamur,Gatal,Ruam kulit,Benjolan kulit,bercak diskromik
830,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
831,Alergi,Gemetar,Demam menggigil,Mata berair,Sesak napas
832,Alergi,Bersin terus-menerus,Demam menggigil,Mata berair,Mual
833,Alergi,Bersin terus-menerus,Gemetar,Mata berair,kehilangan nafsu makan
834,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Lelah
835,Alergi,Gemetar,Demam menggigil,Mata berair,perubahan suhu tubuh
836,Alergi,Bersin terus-menerus,Demam menggigil,Mata berair,iritasi tenggorokan
837,Alergi,Bersin terus-menerus,Gemetar,Mata berair,perubahan nafsu makan
838,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,gangguan tidur
839,Alergi,Bersin terus-menerus,Gemetar,Demam menggigil,Mata berair
840,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
841,Penyakit GERD,Sakit perut,Luka di lidah,Muntah,Batuk
842,Penyakit GERD,Sakit perut,Asam lambung naik,Muntah,Batuk
843,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Batuk
844,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
845,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Muntah
846,Penyakit GERD,Asam lambung naik,Luka di lidah,Muntah,Batuk
847,Penyakit GERD,Sakit perut,Luka di lidah,Muntah,Batuk
848,Penyakit GERD,Sakit perut,Asam lambung naik,Muntah,Batuk
849,Penyakit GERD,Sakit perut,Asam lambung naik,Luka di lidah,Batuk
850,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
851,Kolestasis kronis,Muntah,Kulit kekuningan,Mual,Hilang nafsu makan
852,Kolestasis kronis,Gatal,Kulit kekuningan,Mual,Hilang nafsu makan
853,Kolestasis kronis,Gatal,Muntah,Mual,Hilang nafsu makan
854,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Hilang nafsu makan
855,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
856,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
857,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
858,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
859,Kolestasis kronis,Gatal,Muntah,Kulit kekuningan,Mual
860,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
861,Reaksi Obat,Gatal,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
862,Reaksi Obat,Gatal,Ruam kulit,Rasa panas saat buang air kecil,Bercak saat buang air kecil
863,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Bercak saat buang air kecil
864,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
865,Reaksi Obat,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
866,Reaksi Obat,Gatal,Sakit perut,Rasa panas saat buang air kecil,Bercak saat buang air kecil
867,Reaksi Obat,Gatal,Ruam kulit,Rasa panas saat buang air kecil,Bercak saat buang air kecil
868,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Bercak saat buang air kecil
869,Reaksi Obat,Gatal,Ruam kulit,Sakit perut,Rasa panas saat buang air kecil
870,Penyakit tukak lambung,Muntah,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
871,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Sakit perut bagian bawah,Kentut terus-menerus
872,Penyakit tukak lambung,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
873,Penyakit tukak lambung,Muntah,Hilang nafsu makan,Sakit perut bagian bawah,Kentut terus-menerus
874,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Sakit perut bagian bawah,Kentut terus-menerus
875,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Kentut terus-menerus
876,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
877,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
878,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
879,Penyakit tukak lambung,Muntah,Perut terasa tidak nyaman,Hilang nafsu makan,Sakit perut bagian bawah
880,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
881,AIDS,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan,penurunan berat badan
882,AIDS,Penyusutan otot,Demam tinggi,Hubungan di luar pernikahan,Lelah
883,AIDS,Penyusutan otot,Bercak di tenggorokan,Hubungan di luar pernikahan,Sakit kepala
884,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Nyeri sendi
885,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
886,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
887,AIDS,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan,batuk persisten
888,AIDS,Penyusutan otot,Demam tinggi,Hubungan di luar pernikahan,nafsu makan berkurang
889,AIDS,Penyusutan otot,Bercak di tenggorokan,Demam tinggi,Hubungan di luar pernikahan
890,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
891,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
892,Diabetes,Penurunan berat badan,Gelisah,Lesu,Kadar gula darah tidak stabil
893,Diabetes,Lelah,Gelisah,Lesu,Kadar gula darah tidak stabil
894,Diabetes,Lelah,Penurunan berat badan,Lesu,Kadar gula darah tidak stabil
895,Diabetes,Lelah,Penurunan berat badan,Gelisah,Kadar gula darah tidak stabil
896,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
897,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
898,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
899,Diabetes,Lelah,Penurunan berat badan,Gelisah,Lesu
900,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
901,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
902,Radang perut,Mata cekung,Kekurangan cairan (dehidrasi),Diare,lemah
903,Radang perut,Muntah,Kekurangan cairan (dehidrasi),Diare,Sakit perut bagian bawah
904,Radang perut,Muntah,Mata cekung,Diare,kehilangan nafsu makan
905,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),demam
906,Radang perut,Muntah,Mata cekung,Kekurangan cairan (dehidrasi),Diare
907,Radang perut,Mata cekung,Kekurangan cairan (dehidrasi),Diare,keletihan
908,Radang perut,Muntah,Kekurangan cairan (dehidrasi),Diare,Mual
909,Radang perut,Muntah,Mata cekung,Diare,perubahan warna urin
910,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
911,Asma Bronkial,Batuk,Demam tinggi,Sesak napas,Riwayat keluarga
912,Asma Bronkial,Lelah,Demam tinggi,Sesak napas,Riwayat keluarga
913,Asma Bronkial,Lelah,Batuk,Sesak napas,Riwayat keluarga
914,Asma Bronkial,Lelah,Batuk,Demam tinggi,Riwayat keluarga
915,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
916,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
917,Asma Bronkial,Lelah,Batuk,Demam tinggi,Sesak napas
918,Asma Bronkial,Batuk,Demam tinggi,Sesak napas,Riwayat keluarga
919,Asma Bronkial,Lelah,Demam tinggi,Sesak napas,Riwayat keluarga
920,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
921,Hipertensi,Nyeri dada,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
922,Hipertensi,Sakit kepala,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
923,Hipertensi,Sakit kepala,Nyeri dada,Kehilangan keseimbangan,Sulit berkonsentrasi
924,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Sulit berkonsentrasi
925,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
926,Hipertensi,Sakit kepala,Nyeri dada,Pusing,Kehilangan keseimbangan
927,Hipertensi,Nyeri dada,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
928,Hipertensi,Sakit kepala,Pusing,Kehilangan keseimbangan,Sulit berkonsentrasi
929,Hipertensi,Sakit kepala,Nyeri dada,Kehilangan keseimbangan,Sulit berkonsentrasi
930,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
931,Migrain,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur,Nafsu makan berlebihan
932,Migrain,Asam lambung naik,Sakit kepala,Pandangan kabur,Nafsu makan berlebihan
933,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Pandangan kabur,Nafsu makan berlebihan
934,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Nafsu makan berlebihan
935,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
936,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
937,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
938,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
939,Migrain,Asam lambung naik,Perut terasa tidak nyaman,Sakit kepala,Pandangan kabur
940,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
941,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
942,Spondilosis serviks,Kelemahan pada tangan atau kaki,Sakit leher,Pusing,Kehilangan keseimbangan
943,Spondilosis serviks,Nyeri punggung,Sakit leher,Pusing,Kehilangan keseimbangan
944,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Pusing,Kehilangan keseimbangan
945,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Kehilangan keseimbangan
946,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
947,Spondilosis serviks,Nyeri punggung,Kelemahan pada tangan atau kaki,Sakit leher,Pusing
948,Spondilosis serviks,Kelemahan pada tangan atau kaki,Sakit leher,Pusing,Kehilangan keseimbangan
949,Spondilosis serviks,Nyeri punggung,Sakit leher,Pusing,Kehilangan keseimbangan
950,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
951,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
952,Kelumpuhan (pendarahan otak),Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu,kesulitan berbicara
953,Kelumpuhan (pendarahan otak),Muntah,Lemah di satu sisi tubuh,Kesadaran terganggu,kesulitan bernapas
954,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Kesadaran terganggu,gangguan keseimbangan
955,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,kesulitan bergerak
956,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu
957,Kelumpuhan (pendarahan otak),Sakit kepala,Lemah di satu sisi tubuh,Kesadaran terganggu,kelumpuhan pada wajah
958,Kelumpuhan (pendarahan otak),Muntah,Lemah di satu sisi tubuh,Kesadaran terganggu,kesulitan menelan
959,Kelumpuhan (pendarahan otak),Muntah,Sakit kepala,Kesadaran terganggu,kesulitan bergerak
960,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
961,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
962,Penyakit kuning,Muntah,Lelah,Penurunan berat badan,Demam tinggi
963,Penyakit kuning,Gatal,Lelah,Penurunan berat badan,Demam tinggi
964,Penyakit kuning,Gatal,Muntah,Penurunan berat badan,Demam tinggi
965,Penyakit kuning,Gatal,Muntah,Lelah,Demam tinggi
966,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
967,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
968,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
969,Penyakit kuning,Gatal,Muntah,Lelah,Penurunan berat badan
970,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
971,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
972,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
973,Malaria,Muntah,Demam tinggi,Berkeringat,Sakit kepala
974,Malaria,Demam menggigil,Demam tinggi,Berkeringat,Sakit kepala
975,Malaria,Demam menggigil,Muntah,Berkeringat,Sakit kepala
976,Malaria,Demam menggigil,Muntah,Demam tinggi,Sakit kepala
977,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
978,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
979,Malaria,Demam menggigil,Muntah,Demam tinggi,Berkeringat
980,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
981,Cacar air,Ruam kulit,Lelah,Lesu,Demam tinggi
982,Cacar air,Gatal,Lelah,Lesu,Demam tinggi
983,Cacar air,Gatal,Ruam kulit,Lesu,Demam tinggi
984,Cacar air,Gatal,Ruam kulit,Lelah,Demam tinggi
985,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
986,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
987,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
988,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
989,Cacar air,Gatal,Ruam kulit,Lelah,Lesu
990,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
991,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
992,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
993,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
994,Demam Berdarah,Demam menggigil,Nyeri sendi,Muntah,Lelah
995,Demam Berdarah,Ruam kulit,Nyeri sendi,Muntah,Lelah
996,Demam Berdarah,Ruam kulit,Demam menggigil,Muntah,Lelah
997,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Lelah
998,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
999,Demam Berdarah,Ruam kulit,Demam menggigil,Nyeri sendi,Muntah
1000,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1001,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1002,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1003,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1004,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1005,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1006,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1007,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1008,Penyakit tipus,Demam menggigil,Muntah,Lelah,Demam tinggi
1009,Penyakit tipus,Demam menggigil,Lelah,Demam tinggi,Sakit kepala
1010,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1011,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1012,penyakit hepatitis A,Muntah,Kulit kekuningan,Urin berwarna gelap,Mual
1013,penyakit hepatitis A,Nyeri sendi,Kulit kekuningan,Urin berwarna gelap,Mual
1014,penyakit hepatitis A,Nyeri sendi,Muntah,Urin berwarna gelap,Mual
1015,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Mual
1016,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1017,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1018,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1019,penyakit hepatitis A,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1020,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1021,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1022,Penyakit Hepatitis B,Lelah,Lesu,Kulit kekuningan,Urin berwarna gelap
1023,Penyakit Hepatitis B,Gatal,Lesu,Kulit kekuningan,Urin berwarna gelap
1024,Penyakit Hepatitis B,Gatal,Lelah,Kulit kekuningan,Urin berwarna gelap
1025,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Urin berwarna gelap
1026,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1027,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1028,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1029,Penyakit Hepatitis B,Gatal,Lelah,Lesu,Kulit kekuningan
1030,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1031,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1032,Penyakit Hepatitis C,Kulit kekuningan,Mual,Hilang nafsu makan,Mata menguning
1033,Penyakit Hepatitis C,Lelah,Mual,Hilang nafsu makan,Mata menguning
1034,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Hilang nafsu makan,Mata menguning
1035,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Mata menguning
1036,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1037,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1038,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1039,Penyakit Hepatitis C,Lelah,Kulit kekuningan,Mual,Hilang nafsu makan
1040,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1041,Penyakit Hepatitis D.,Muntah,Lelah,Kulit kekuningan,Urin berwarna gelap
1042,Penyakit Hepatitis D.,Nyeri sendi,Lelah,Kulit kekuningan,Urin berwarna gelap
1043,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Kulit kekuningan,Urin berwarna gelap
1044,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Urin berwarna gelap
1045,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1046,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1047,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1048,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1049,Penyakit Hepatitis D.,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1050,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1051,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1052,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1053,Hepatitis E,Muntah,Lelah,Demam tinggi,Kulit kekuningan
1054,Hepatitis E,Nyeri sendi,Lelah,Demam tinggi,Kulit kekuningan
1055,Hepatitis E,Nyeri sendi,Muntah,Demam tinggi,Kulit kekuningan
1056,Hepatitis E,Nyeri sendi,Muntah,Lelah,Kulit kekuningan
1057,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1058,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1059,Hepatitis E,Nyeri sendi,Muntah,Lelah,Demam tinggi
1060,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1061,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1062,Hepatitis alkoholik,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
1063,Hepatitis alkoholik,Muntah,Sakit perut bagian bawah,Perut bengkak,Perut kembung atau bengkak
1064,Hepatitis alkoholik,Muntah,Kulit kekuningan,Perut bengkak,Perut kembung atau bengkak
1065,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut kembung atau bengkak
1066,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1067,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1068,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1069,Hepatitis alkoholik,Muntah,Kulit kekuningan,Sakit perut bagian bawah,Perut bengkak
1070,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
1071,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
1072,Tuberkulosis,Muntah,Lelah,Penurunan berat badan,Batuk
1073,Tuberkulosis,Demam menggigil,Lelah,Penurunan berat badan,Batuk
1074,Tuberkulosis,Demam menggigil,Muntah,Penurunan berat badan,Batuk
1075,Tuberkulosis,Demam menggigil,Muntah,Lelah,Batuk
1076,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
1077,Tuberkulosis,Demam menggigil,Muntah,Lelah,Penurunan berat badan
